xs,av,sem
0,4.285714285714286,0.17284637072534198
30,4.195652173913044,0.17638885129088724
60,4.260416666666667,0.178471084484507
90,4.247422680412371,0.17155477609698405
120,4.25,0.17396309348461486
132,4.319148936170213,0.22597953533590315
